ref,name,location,type,maint_zone,long,lat
PGWF089,Sabri Drive Reserve,Sabri Drive Reserve Sabri Drive Shepparton 3630,Neighbourhood,Zone1,145.4070327,-36.35590778
PGWF042,Hereford Drive Reserve ,Hereford Drive Reserve Shepparton 3630,Neighbourhood,Zone1,145.4136461,-36.349107
PGWF041,Heathmont Park,"Heathmont Park, Westview Drive Mooroopna",Neighbourhood,Zone3,145.3458621,-36.38655052
PGWF081,Sevens Creek Playground,12 Seven Creeks Drive.Seven Creek Playground (Kialla),Neighbourhood,Zone2,145.3824728,-36.42558266
PGWF112,Riviera Park Estate Playground,"Lomandra Drive Kialla, Riviera Park Estate.",Neighbourhood,Zone2,145.3818787,-36.44329567
PGWF076,O'Donnell Park,O'Donnell Park Jafer Court Shepparton East 3631,Neighbourhood,Zone2,145.477354,-36.39960804
PGWF037,Ganaway Reserve,Ganaway Reserve Ganaway Crescent Shepparton 3631,Neighbourhood,Zone2,145.4002622,-36.41386948
PGWF125,Undera Youth Spot,Undera Youth Spot. 6 Madill Road UNDERA .,Neighbourhood,Zone3,145.2230612,-36.27786883
PGWF048,Judd Park,Judd Park Merrigum,Neighbourhood,Zone4,145.1311346,-36.37202831
PGWF113,Colaura Gardens Toolamba,Wren Street Toolamba,Neighbourhood,Zone3,145.338555,-36.49037599
PGWF013, Canterbury Park,11-21 Canterbury Avenue SHEPPARTON  VIC  3630,Neighbourhood,Zone1,145.3723897,-36.36054921
PGWF066,Merrigum Skate Park,Merrigum Skate Park Morrissey Street Merrigum 3618,District,Zone4,145.1298701,-36.372217
PGWF069,Mooroopna Recreation Reserve,Mooroopna Rec Reserve behind netball courts,District,Zone3,145.3531688,-36.39276442
PGWF020,Craigmuir Lake Park,Craigmuir Lake Park Echuca-Mooroopna Road Mooroopna 3629,District,Zone3,145.3454266,-36.37328822
PGWF001,CWA Gardens,CWA Gardens Mary Street Dookie 3646,District,Zone1,145.6853764,-36.32762637
PGWF002,CWA Gardens Exercise Equipment,Exercise Equipment Area.CWA Gardens Mary Street Dookie 3646,District,Zone1,145.6871344,-36.32769258
PGWF105,CWA Gardens,Dookie SPOT Area                                                                                 CWA Gardens Mary Street Dookie 3646,District,Zone1,145.6848733,-36.32793094
