assetid,name,strno,street,suburb,classif,park_id,lat,lon
PL85,Leawarra Reserve Playground,11,Leawarra Crescent,Doncaster East,Small Playground,FLPK180,-37.77530676300,145.15442910700
PL87,Lionel Reserve Playground,4-8,Whittenoom Street,Doncaster East,Small Playground,FLPK182,-37.79601300600,145.16145524500
PL88,Hillcrest Reserve Playground,31-37,Lisbeth Avenue,Donvale,Small Playground,FLPK183,-37.80253748000,145.19547670400
PL89,Lyndal Reserve Playground,6,Lyndal Close,Doncaster East,Large Playground,FLPK186,-37.75529107400,145.17689755000
PL90,Lynette Reserve Playground,361,Heidelberg-Warrandyte Road,Warrandyte,Small Playground,FLPK187,-37.74507039200,145.20091524800
PL91,Lynnwood Reserve Playground,64-68,Fyfe Drive,Templestowe Lower,Large Playground,FLPK188,-37.76948258400,145.12280845300
PL92,Maggs Reserve (North) Playground,25-27,Maggs Street,Doncaster East,Small Playground,FLPK190,-37.79362027700,145.16433711300
PL94,Hertford Reserve Playground,2-4,Hertford Road,Doncaster East,Small Playground,FLPK192,-37.77953590400,145.15337203500
PL95,Marshall Reserve Playground,10,Marshall Avenue,Doncaster,Large Playground,FLPK193,-37.79070594100,145.13517807700
PL96,Matisse Reserve Playground,15,Renoir Avenue,Templestowe,Large Playground,FLPK194,-37.76078748600,145.16421133000
PL97,Maxia Reserve Playground,3,Maxia Road,Doncaster East,Small Playground,FLPK195,-37.79773580500,145.15935492000
PL98,Mayfair Reserve Playground,40,Mayfair Avenue,Templestowe Lower,Small Playground,FLPK196,-37.76656876000,145.11482182800
PL99,McKenzie Reserve Playground,40,McKenzie Street,Doncaster East,Small Playground,FLPK197,-37.78303693300,145.16992977600
PL100,Michael Reserve Playground,11,Michael Street,Templestowe Lower,Small Playground,FLPK326,-37.76998445100,145.10956254900
PL101,Montgomery Reserve Playground,2-10,Montgomery Street,Doncaster East,Small Playground,FLPK203,-37.78819109300,145.15957197600
PL102,Morecambe Reserve Playground,6-7,Morecambe Court,Templestowe,Small Playground,FLPK206,-37.75385977100,145.13312760200
PL103,Morna Reserve (North) Playground,26,Morna Road,Doncaster East,Small Playground,FLPK166,-37.79287598200,145.15862466300
PL104,Mossdale Reserve Playground,4,Mossdale Court,Templestowe,Small Playground,FLPK207,-37.77047773700,145.14248259900
PL106,Rieschiecks Reserve Playground,10-12,Owens Street,Doncaster East,Small Playground,FLPK238,-37.77729128300,145.14602791600
PL107,Oxford Reserve Playground,17-19,Oxford Street,Nunawading,Small Playground,FLPK218,-37.80378261100,145.18311308800
PL108,Park Orchards Reserve Playground,568,Park Road,Park Orchards,Small Playground,FLPK221,-37.77873220300,145.21403136800
PL110,Pine Hill Reserve Playground,9,Jefferson Grove,Doncaster East,Small Playground,FLPK226,-37.76969432200,145.18022755000
